id,url,text,rating,time_created,user_id,user_profile_url,user_image_url,user_name,business_id
V1aeQBrclz3e9USzwgMTUg,https://www.yelp.com/biz/the-restaurant-at-weekapaug-inn-westerly-3?adjust_creative=1woF1Kwn15wJJxNZkMIAgw&hrid=V1aeQBrclz3e9USzwgMTUg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=1woF1Kwn15wJJxNZkMIAgw,Have had two excellent meals here. In he last instance our order was not submitted and once this was discovered (because no food was arriving at our table)...,4,2018-07-21 12:37:16,UBK_u6l2NydB7QjRC2Tu3g,https://www.yelp.com/user_details?userid=UBK_u6l2NydB7QjRC2Tu3g,https://s3-media1.fl.yelpcdn.com/photo/B8JFSiv8DJcISgfqaioedw/o.jpg,B W.,AIoOg35r7ALZKbknRMcQPA
nXiH1ORgqNJCtn7gMrT2dg,https://www.yelp.com/biz/vatsana-thai-and-sushi-cranston?adjust_creative=ogtFoSS6DBKYYW1KXs8qsw&hrid=nXiH1ORgqNJCtn7gMrT2dg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=ogtFoSS6DBKYYW1KXs8qsw,"ALWAYS FRESH AND DELICIOUS ... truly authentic ASIAN food !!!  

Having had many culinary experiences overseas in SE ASIA -- these ingredients are rich and...",5,2019-12-28 09:22:14,xCqI0pQj8ftxtDgAQ__UUA,https://www.yelp.com/user_details?userid=xCqI0pQj8ftxtDgAQ__UUA,https://s3-media2.fl.yelpcdn.com/photo/D2GfTH5cprQThhSt1-He0A/o.jpg,Rebecca M.,cmC2dVah4K6Vpcvi7kxCGQ
fRJasIfI_YJ5es_4lrTcMA,https://www.yelp.com/biz/kam-shing-restaurant-bristol?adjust_creative=pzvBKuEUl0Vl1jtHQqJaog&hrid=fRJasIfI_YJ5es_4lrTcMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pzvBKuEUl0Vl1jtHQqJaog,"I love when I see people come to the USA and ""make it"" on their own ingenuity. The owners at Kam Shing did just that. There is a reason they have been in...",4,2013-02-13 03:56:08,2zL8Mc4-H6EKOHJ9oYY0BA,https://www.yelp.com/user_details?userid=2zL8Mc4-H6EKOHJ9oYY0BA,https://s3-media2.fl.yelpcdn.com/photo/_cUKZW_ICwcDl0NaDK3erA/o.jpg,Greg U.,nb6TtvpA505YFvnmBSKfhQ
5t_UJ0LClCsH5TeaO6Fipg,https://www.yelp.com/biz/cowesett-pizza-west-warwick?adjust_creative=1woF1Kwn15wJJxNZkMIAgw&hrid=5t_UJ0LClCsH5TeaO6Fipg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=1woF1Kwn15wJJxNZkMIAgw,"After a hectic Friday, I asked the wife what she wanted for takeout, and she said a chicken parmigiana grinder.  She had this place in mind, because we'd...",4,2017-10-22 06:12:04,x9zLV86F17PElYMljKABSQ,https://www.yelp.com/user_details?userid=x9zLV86F17PElYMljKABSQ,https://s3-media1.fl.yelpcdn.com/photo/3laEhNvTjdNUb36ICpO3wA/o.jpg,Kenneth C.,dMDGkvs2YS_N9FoLZUHrLA
eBVQhBb4AcaW1J6THebI3A,https://www.yelp.com/biz/pour-judgement-bar-and-grill-newport-2?adjust_creative=9VzDKP4DqSuZkRYYaMKPjA&hrid=eBVQhBb4AcaW1J6THebI3A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=9VzDKP4DqSuZkRYYaMKPjA,"Kendra is f-ing fabulous. She's the sweetest server ever, gave great recommendations, was attentive, and overall gave us a good experience.

Oh and the food...",5,2019-10-26 10:26:40,t3CLLVNxblFwOkFZe27rag,https://www.yelp.com/user_details?userid=t3CLLVNxblFwOkFZe27rag,https://s3-media4.fl.yelpcdn.com/photo/BHkH3TrX4_Aka02JWYw4Bg/o.jpg,Tiana Y.,WCdTERhOBeVvgA17ds9nZg
aJOmJaLqVoDOMBmUuokMNw,https://www.yelp.com/biz/lasalle-bakery-providence-2?adjust_creative=aj1GKJwPeZkL-sbwjQ-IaA&hrid=aJOmJaLqVoDOMBmUuokMNw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=aj1GKJwPeZkL-sbwjQ-IaA,"There are a million bakeries in Providence; and I have to say, this one is probably one of my favorites when it comes to their atmosphere, customer service,...",4,2019-11-26 07:59:13,DEED2ynPR4Z3jrllOQkJfQ,https://www.yelp.com/user_details?userid=DEED2ynPR4Z3jrllOQkJfQ,https://s3-media3.fl.yelpcdn.com/photo/EUMbQhNRhlBHbyTgw8R7sg/o.jpg,Andrew M.,IzBJVWPz9ItYq81eArKsxA
u87pzumHx4lswtutiomwFA,https://www.yelp.com/biz/brickyard-pizza-barrington?adjust_creative=pzvBKuEUl0Vl1jtHQqJaog&hrid=u87pzumHx4lswtutiomwFA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pzvBKuEUl0Vl1jtHQqJaog,"Thin crust style pizza with excellent quality toppings, but the crust just isn't quite right for this New Yorker's taste buds. Still, it's one of the best...",3,2019-08-25 07:56:16,3Gc6e-R1tPpFVfA_UIv4oA,https://www.yelp.com/user_details?userid=3Gc6e-R1tPpFVfA_UIv4oA,https://s3-media1.fl.yelpcdn.com/photo/EK1VEBUMEKh7gG7AoyXVvg/o.jpg,Rob L.,bfVpMkuI7KnMA83tFAR3jw
cqorRMSeXskIcSUeW293SA,https://www.yelp.com/biz/hibachi-buffet-east-providence?adjust_creative=wvYhLIPhC3WhfPj1pSQMQA&hrid=cqorRMSeXskIcSUeW293SA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=wvYhLIPhC3WhfPj1pSQMQA,"so my dad(vishnu love him) LOVES chinese buffets. this is where we took to celebrate his birthday. hey , whatever keeps the old guy happy ;) anyways this is...",4,2020-01-15 02:47:40,1Z2CVv2zDnb7Dg_j_S7rOg,https://www.yelp.com/user_details?userid=1Z2CVv2zDnb7Dg_j_S7rOg,https://s3-media1.fl.yelpcdn.com/photo/weP7ECaPHcW_osHxpfhM3w/o.jpg,Una D.,vBftc5O9m8e-eMLkCyodug
2Mh0jbRvYT8TMjB2LuDDGw,https://www.yelp.com/biz/yovanis-pizzeria-cumberland?adjust_creative=Fku6y3z1NBmCHCgoYNFuDg&hrid=2Mh0jbRvYT8TMjB2LuDDGw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Fku6y3z1NBmCHCgoYNFuDg,decided to finally order from this place after getting so many flyers in the mail I said lets give it a shot! Im so glad I did! I ordered the baked fish...,5,2020-01-10 13:51:30,IomDdUmZB0qPPc6CUxydhg,https://www.yelp.com/user_details?userid=IomDdUmZB0qPPc6CUxydhg,,Shirley G.,4k-C6KQ0auOy27u-douBlQ
7oQSN8mG34y6dftLgAIDmg,https://www.yelp.com/biz/newport-creamery-ice-cream-and-sandwich-shoppes-providence?adjust_creative=aj1GKJwPeZkL-sbwjQ-IaA&hrid=7oQSN8mG34y6dftLgAIDmg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=aj1GKJwPeZkL-sbwjQ-IaA,"I have to say , a Rhode Island classic . I always come here right after the dentist so I can get that lived in feeling quick . My choice is always an awful...",5,2019-12-22 20:50:41,1XxVbv_yxVt19ZHMFdruyw,https://www.yelp.com/user_details?userid=1XxVbv_yxVt19ZHMFdruyw,https://s3-media1.fl.yelpcdn.com/photo/vpgtnJnvQNykXJmcdmfI1A/o.jpg,Howard P.,amWF5IJ27HjbIEf86uUe4w
