id,alias,name,image_url,is_closed,url,review_count,category_alias,category_title,rating,latitude,longitude,transactions,price,address1,address2,address3,city,zip_code,country,state,display_address,phone,display_phone,distance
7OSZQfnJggXq-6VrOoEVtQ,catch-1251-seafood-and-grill-agawam,Catch 1251 Seafood & Grill,https://s3-media3.fl.yelpcdn.com/bphoto/kJ7L1uARW-zjnPlhkrQ8PQ/o.jpg,False,https://www.yelp.com/biz/catch-1251-seafood-and-grill-agawam?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,72,"seafood,salad,tradamerican","Seafood,Salad,American (Traditional)",4.0,42.08174,-72.58611,['delivery'],$$,1251 River Rd,,,Agawam,01001,US,MA,"1251 River Rd,Agawam, MA 01001",+14133917640,(413) 391-7640,3677.6426556010206
vyJLJKDe6mEiR7-IzUwA-w,the-federal-agawam,The Federal,https://s3-media1.fl.yelpcdn.com/bphoto/mAXt1g33HaiR1XZeGFevTg/o.jpg,False,https://www.yelp.com/biz/the-federal-agawam?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,205,"newamerican,steak","American (New),Steakhouses",4.5,42.08238,-72.62149,['delivery'],$$$,135 Cooper St,,,Agawam,01001,US,MA,"135 Cooper St,Agawam, MA 01001",+14137891267,(413) 789-1267,1903.3068280315847
1A0oLF_YibjHvFXSUd1aEg,hangar-pub-and-grill-agawam,Hangar Pub & Grill,https://s3-media2.fl.yelpcdn.com/bphoto/x6O7c2JS2kBGLsZm7zOPBg/o.jpg,False,https://www.yelp.com/biz/hangar-pub-and-grill-agawam?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,1,"chicken_wings,pubs,tradamerican","Chicken Wings,Pubs,American (Traditional)",5.0,42.05677,-72.60546,[],,395 River Rd,,,Agawam,01001,US,MA,"395 River Rd,Agawam, MA 01001",+14133017827,(413) 301-7827,1900.483213863564
r6Co84JHmfEcGrG557ToRA,murphys-pub-agawam,Murphy's Pub,https://s3-media1.fl.yelpcdn.com/bphoto/55CNei0_qf03hz1SgccqDw/o.jpg,False,https://www.yelp.com/biz/murphys-pub-agawam?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,59,"irish,pubs","Irish,Pubs",4.0,42.0670802348428,-72.631870508194,['delivery'],$$,664 Suffield St,,,Agawam,01001,US,MA,"664 Suffield St,Agawam, MA 01001",+14133017074,(413) 301-7074,581.0250279582007
HivpqymfBWQJQzt9D0woxA,pour-agawam,Pour,https://s3-media4.fl.yelpcdn.com/bphoto/7ylj_CMvCLRZeUCFp_7BXg/o.jpg,False,https://www.yelp.com/biz/pour-agawam?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,4,"salad,cocktailbars,sandwiches","Salad,Cocktail Bars,Sandwiches",4.5,42.083175,-72.645284,[],,485 Springfield St,,,Agawam,01001,US,MA,"485 Springfield St,Agawam, MA 01001",+14132099934,(413) 209-9934,2567.180072402947
aFkoHrO0ElrWzC1FJmLwZA,nickys-pizza-agawam-2,Nicky's Pizza,https://s3-media1.fl.yelpcdn.com/bphoto/Ml5kQGuDFGL9l5AcJ-owpw/o.jpg,False,https://www.yelp.com/biz/nickys-pizza-agawam-2?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,73,"pizza,italian","Pizza,Italian",4.5,42.059326171875,-72.6173934936523,['delivery'],$,1000 Main St,,,Agawam,01001,US,MA,"1000 Main St,Agawam, MA 01001",+14137869977,(413) 786-9977,945.0532199439248
VBJYazRjC8SdgcZinNsJcA,jbs-smokehouse-bbq-agawam,JB's Smokehouse BBQ,https://s3-media4.fl.yelpcdn.com/bphoto/Z0ND2VcxWgBRP3iNHymCZA/o.jpg,False,https://www.yelp.com/biz/jbs-smokehouse-bbq-agawam?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,2,bbq,Barbeque,4.0,42.0393700859765,-72.6136200875044,[],,1623 Main St,,,Agawam,01001,US,MA,"1623 Main St,Agawam, MA 01001",,,3066.84147021719
P1rPj8m_LnyeWac98EaM0A,the-still-bar-and-grill-agawam-2,The Still Bar & Grill,https://s3-media2.fl.yelpcdn.com/bphoto/2ftJckZ9Yq2chGfdSO5mgQ/o.jpg,False,https://www.yelp.com/biz/the-still-bar-and-grill-agawam-2?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,43,"tradamerican,sportsbars","American (Traditional),Sports Bars",3.5,42.08938,-72.63024,['delivery'],$,63 Springfield St,,,Agawam,01001,US,MA,"63 Springfield St,Agawam, MA 01001",+14133042795,(413) 304-2795,2604.036915458875
MDxhEEjK3wnjEJgbQsYEag,macho-taco-agawam-4,Macho Taco,https://s3-media4.fl.yelpcdn.com/bphoto/uWpFV8iZEcSMxOVDyrFx3g/o.jpg,False,https://www.yelp.com/biz/macho-taco-agawam-4?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,96,"tacos,tex-mex","Tacos,Tex-Mex",4.5,42.0895051537608,-72.6303144823267,"['pickup', 'delivery']",$$,67 Springfield St,,,Agawam,01001,US,MA,"67 Springfield St,Agawam, MA 01001",+14132857060,(413) 285-7060,2692.9747337029758
sxJfQVjD_Xf6_FPFxmJV8g,parthenon-restaurant-agawam,Parthenon Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/7gjNBrP5fYb4kko3Jrqs9w/o.jpg,False,https://www.yelp.com/biz/parthenon-restaurant-agawam?adjust_creative=HdhkN5EEH6lAqE3kwhsHEQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=HdhkN5EEH6lAqE3kwhsHEQ,43,pizza,Pizza,4.0,42.06067,-72.63169,['delivery'],$$,835 Suffield St,,,Agawam,01001,US,MA,"835 Suffield St,Agawam, MA 01001",+14137867941,(413) 786-7941,726.3774483018151
